Día;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic
1;;804,28;829,97;;;811,61;;840,69;853,86;;;869,56
2;;791,80;815,24;;803,30;804,60;;843,02;;895,60;899,44;
3;855,86;781,49;814,56;790,41;808,75;;801,66;847,77;;902,26;889,74;
4;852,14;;;801,28;806,03;;799,29;853,99;850,57;914,30;;862,86
5;855,10;;;810,64;800,54;797,97;796,47;;854,99;913,26;;862,08
6;856,31;788,88;808,91;810,22;;797,74;797,87;;869,67;917,34;881,30;874,25
7;;804,79;803,00;;;797,79;804,49;848,50;872,92;;879,78;874,42
8;;799,46;798,18;;795,46;793,47;;856,10;879,77;;886,28;
9;846,38;793,19;802,88;;793,43;790,75;;863,22;;;896,00;
10;837,19;796,27;800,88;814,64;792,46;;806,52;858,68;;919,42;902,89;
11;833,73;;;821,49;788,15;;811,98;851,70;892,68;927,07;;868,01
12;825,67;;;811,75;796,38;787,20;816,78;;890,81;924,81;;880,00
13;822,32;800,78;797,19;802,89;;806,84;811,24;;897,17;933,45;916,58;880,62
14;;793,79;803,14;795,81;;804,38;808,61;853,30;888,34;;921,65;876,77
15;;789,49;800,71;;787,00;800,12;;;885,84;;907,36;866,37
16;824,33;792,62;817,42;;783,35;796,97;;859,03;;942,04;890,18;
17;821,59;794,35;824,65;797,28;794,44;;813,44;859,87;;942,80;881,17;
18;820,89;;;801,26;797,24;;820,76;864,72;;945,61;;872,59
19;812,45;;;795,23;796,04;793,35;815,58;;;937,21;;875,48
20;828,74;792,25;830,65;796,93;;795,63;811,43;;887,89;940,46;884,36;863,23
21;;791,70;826,35;791,64;;;807,62;867,95;882,31;;878,99;868,77
22;;797,75;821,55;;797,00;801,90;;869,51;891,73;;873,70;872,95
23;821,02;799,42;818,76;;800,24;805,02;;866,97;;942,42;874,86;
24;814,11;802,93;805,23;795,96;801,71;;821,95;860,97;;938,26;871,37;
25;805,45;;;814,75;809,03;;827,10;854,77;889,21;929,05;;
26;803,68;;;813,90;809,24;;828,90;;900,14;922,89;;883,99
27;802,58;818,67;811,48;805,21;;808,21;825,80;;904,31;;873,89;895,77
28;;831,24;806,58;801,61;;800,33;826,01;843,08;904,62;;872,03;886,34
29;;;799,76;;804,11;800,89;;848,86;906,84;;869,47;884,59
30;803,14;;792,18;;802,14;802,68;;857,59;;928,41;867,86;
31;810,37;;789,32;;803,94;;827,84;854,22;;910,28;;
Promedio;826,34;798,26;809,50;803,84;798,64;799,87;813,40;855,66;884,40;926,35;886,61;874,67
